,xaxis,yaxis,roomspace,price,is_total,numbed,numdining,numbath,is_new,two_bathroom,decoration,is_subway_house,rent_period_month,deposit_1_pay_1,is_key,central_heating
145,116.37913,39.887761,52,5100,1.0,1,1,1,0,0,0,1,0,0,1,1
146,116.309431,39.842690999999995,77,6200,1.0,1,1,1,0,0,1,1,0,0,1,1
147,116.49414499999999,39.904158,64,7200,1.0,1,0,1,0,0,1,1,0,0,1,1
148,116.425446,39.954871999999995,44,7000,1.0,1,1,1,0,0,1,1,0,0,1,1
149,116.400929,39.866858,40,4500,1.0,1,1,1,0,0,0,1,0,0,1,1
150,116.41383799999998,39.895714,50,6200,1.0,1,0,1,0,0,1,1,0,0,1,0
151,116.307856,39.913968,56,8500,1.0,1,1,1,0,0,1,1,0,0,1,1
152,116.34798,39.931740000000005,44,6200,1.0,1,1,1,0,0,1,1,0,0,1,1
153,116.471626,39.8946,57,6400,1.0,1,1,1,0,0,1,1,0,0,1,1
154,116.446076,39.959361,43,5800,,1,1,1,0,0,0,1,0,0,1,1
155,116.489254,40.006445,63,8500,1.0,1,0,1,0,0,1,1,0,0,1,0
156,116.490847,39.922546999999994,58,5000,1.0,1,1,1,0,0,1,1,0,0,1,1
157,116.493655,39.905367,46,5700,1.0,1,0,1,0,0,1,1,0,0,1,1
158,116.493333,39.967187,39,6500,1.0,1,0,1,0,0,1,1,0,0,1,1
159,116.47198700000001,40.005241,55,5700,1.0,1,1,1,0,0,0,1,0,0,1,1
160,116.655519,39.9128,52,4000,,1,0,1,0,0,0,1,0,0,1,1
161,116.414359,39.924443,46,6700,1.0,1,1,1,0,0,1,1,0,0,1,1
162,116.432142,39.902353999999995,31,5800,1.0,1,0,1,0,0,1,1,0,0,1,1
163,116.50116200000001,39.915382,60,7600,1.0,1,1,1,0,0,1,1,0,0,1,1
164,116.462281,39.937892,55,7200,,1,1,1,0,0,0,1,0,0,1,1
165,116.309252,39.977841999999995,51,7000,1.0,1,1,1,0,0,0,1,0,0,1,1
166,116.47206399999999,39.887679999999996,47,5700,1.0,1,1,1,0,0,0,1,0,0,1,1
167,116.422099,40.050196,60,6500,,1,0,1,0,0,0,1,0,0,1,1
168,116.330578,39.966964000000004,47,7200,1.0,1,0,1,0,0,1,1,0,0,1,1
169,116.505827,39.9008,69,8000,1.0,1,0,1,0,0,1,1,0,0,1,1
170,116.62964099999999,39.911449,101,4600,,1,1,1,0,0,0,1,0,0,1,1
171,116.30441499999999,39.918054999999995,40,4600,1.0,1,1,1,0,0,1,1,0,0,1,1
172,116.3367,39.897727,67,6800,1.0,1,1,1,0,0,1,1,0,0,1,1
173,116.70323400000001,39.911017,58,4300,1.0,1,1,1,0,0,0,1,0,0,1,1
174,116.309431,39.842690999999995,62,6300,1.0,1,1,1,0,0,1,1,0,0,1,1
175,116.370166,39.850296,64,6000,1.0,1,1,1,0,0,0,1,0,0,1,1
176,116.46461000000001,39.903546,62,9800,1.0,1,1,1,0,0,1,1,0,0,1,1
177,116.298445,39.838903,80,4800,1.0,1,1,1,1,0,0,1,0,0,1,1
178,116.42221299999999,39.968073,45,5500,1.0,1,1,1,0,0,0,1,0,0,1,1
179,116.308652,39.892396999999995,71,7000,,1,1,1,0,0,0,1,0,0,1,0
180,116.404579,39.978491,39,6200,1.0,1,1,1,0,0,1,1,0,0,0,1
181,116.46615,39.963231,89,16000,1.0,1,1,1,0,0,1,1,0,0,1,1
182,116.333514,39.797388,39,4000,,1,0,1,0,0,0,1,0,0,0,1
183,116.476467,39.888742,63,6800,1.0,1,1,1,0,0,1,1,0,0,1,1
184,116.462543,39.933593,62,8500,,1,0,1,0,0,0,1,0,0,0,1
185,116.694868,39.877962,55,3500,1.0,1,0,1,0,0,0,1,0,0,1,1
186,116.34837900000001,39.898284000000004,73,7600,,1,0,1,0,0,0,1,0,0,1,1
187,116.47516999999999,39.949467999999996,40,6000,1.0,1,1,1,0,0,1,1,0,0,0,1
188,116.484696,39.903711,46,6200,1.0,1,0,1,0,0,1,1,0,0,1,1
189,116.449979,39.912338,84,13000,1.0,1,1,1,0,0,1,1,0,0,1,1
190,116.42928899999998,40.040731,51,5600,1.0,1,0,1,0,0,1,1,0,0,1,1
191,116.373314,39.844248,58,6500,1.0,1,1,1,0,0,1,1,0,0,1,1
192,116.37303500000002,39.914770000000004,40,7600,,1,1,1,0,0,0,1,0,0,1,0
193,116.51300900000001,39.936277000000004,41,5200,1.0,1,0,1,0,0,1,1,0,0,0,1
194,116.415435,39.964901,78,12500,1.0,1,0,1,0,0,1,1,0,0,0,1
195,116.446047,39.964131,52,5500,1.0,1,1,1,0,0,0,1,0,0,0,1
196,116.480024,39.944528999999996,62,8500,1.0,1,1,1,0,0,1,1,0,0,0,1
197,116.269658,39.911359000000004,54,5600,,1,1,1,1,0,0,1,0,0,1,1
198,116.357739,39.908038,37,6600,1.0,1,1,1,0,0,1,1,0,0,0,1
199,116.521988,39.927428000000006,55,7000,1.0,1,1,1,1,0,1,1,0,0,1,0
200,116.343245,39.900529,22,3600,1.0,1,0,1,0,0,1,1,0,0,0,1
201,116.42247900000001,40.06389,67,5200,1.0,1,0,1,0,0,0,1,0,0,1,0
202,116.49954,39.904937,42,8300,1.0,1,1,1,0,0,1,1,0,0,1,1
203,116.401854,39.861344,69,5500,,1,1,1,0,0,0,1,0,0,1,1
204,116.476447,39.903804,60,8200,1.0,1,1,1,0,0,1,1,0,0,1,1
205,116.427002,39.962219,47,6500,1.0,1,1,1,0,0,1,1,0,0,0,1
206,116.46251699999999,39.931273,52,6800,1.0,1,1,1,0,0,1,1,0,0,0,1
207,116.42149099999999,39.876487,36,4600,,1,1,1,0,0,0,1,0,0,0,1
208,116.448876,39.901694,56,7000,,1,1,1,0,0,0,1,0,0,1,1
209,116.51793700000002,39.915593,60,6000,1.0,1,1,1,0,0,1,1,0,0,1,1
210,116.46656200000001,39.921656,87,15500,,1,1,1,0,0,0,1,0,0,0,1
211,116.49414499999999,39.904158,72,7800,1.0,1,1,1,0,0,1,1,0,0,0,1
212,116.299198,39.838131,66,5000,1.0,1,0,1,0,0,1,1,0,0,0,1
213,116.420993,40.030479,63,6500,,1,1,1,0,0,0,1,0,0,1,0
214,116.662375,39.89499,63,5000,1.0,1,1,1,0,0,0,1,0,0,0,1
215,116.448231,39.947027,44,6500,,1,1,1,0,0,0,1,0,0,0,1
216,116.51151999999999,39.901436,71,6800,1.0,1,1,1,0,0,1,1,0,0,1,1
217,116.42262099999999,40.03926,86,7200,1.0,1,1,1,0,0,0,1,0,0,1,0
218,,,71,6500,1.0,1,1,1,0,0,1,1,0,0,1,1
219,116.372766,39.923318,57,13000,1.0,1,0,1,0,0,1,1,0,0,0,1
220,116.471006,40.016871,43,7500,1.0,1,0,1,0,0,1,1,0,0,0,1
221,116.442531,39.89667,60,7000,1.0,1,1,1,0,0,1,1,0,0,1,1
222,116.424392,40.001544,71,8000,1.0,1,0,1,0,0,0,1,0,0,1,1
223,116.46003200000001,39.879667,47,5500,1.0,1,1,1,0,0,0,1,0,0,1,1
224,116.493333,39.967187,60,12000,1.0,1,1,2,0,1,1,1,0,0,1,1
225,116.41344299999999,39.947734000000004,43,7000,1.0,1,1,1,0,0,0,1,0,0,1,1
226,116.42022,40.044807,74,7200,,1,1,1,0,0,0,1,0,0,1,0
227,116.357611,39.916378,61,14500,,1,0,1,0,0,0,1,0,0,0,1
228,116.42244099999999,40.006907,86,8000,1.0,1,1,1,0,0,0,1,1,0,1,1
229,116.45918600000002,39.959951000000004,37,8000,1.0,1,1,1,0,0,1,1,0,0,0,1
230,116.30668600000001,39.824775,48,4500,1.0,1,1,1,0,0,0,1,0,0,1,1
231,116.566103,39.92841,43,5000,1.0,1,0,1,0,0,0,1,0,0,0,1
232,116.35673500000001,39.942857000000004,42,6500,1.0,1,1,1,0,0,0,1,0,0,1,1
233,116.62964099999999,39.911449,96,5800,1.0,1,2,1,0,0,1,1,0,0,1,1
234,116.39145,39.978742,41,6200,,1,1,1,0,0,0,1,0,0,1,1
235,116.427002,39.962219,41,5800,1.0,1,1,1,0,0,1,1,0,0,0,1
236,116.32940500000001,39.846371000000005,57,5500,1.0,1,0,1,0,0,1,1,0,0,0,1
237,116.462122,39.923796,63,16000,1.0,1,0,1,0,0,1,1,0,0,1,1
238,116.466392,39.928321000000004,36,6000,,1,1,1,0,0,0,1,0,0,1,1
239,116.34003999999999,39.775896,60,4200,1.0,1,1,1,0,0,0,1,0,0,1,1
240,116.475489,40.01952,65,8200,1.0,1,0,1,0,0,1,1,0,0,0,1
241,116.401854,39.861344,61,7500,,1,1,2,0,0,0,1,0,0,0,1
242,116.511545,39.904464000000004,69,6800,1.0,1,1,1,0,0,1,1,0,0,1,1
243,116.32598899999999,39.686151,51,3200,,1,0,1,0,0,0,1,0,0,1,1
244,116.459652,39.901899,72,12000,1.0,1,1,1,0,0,1,1,0,0,1,1
245,116.38549499999999,39.89263,58,8500,1.0,1,0,1,0,0,1,1,0,0,0,1
246,116.403604,39.81446,47,3200,1.0,1,1,1,0,0,0,1,0,0,1,1
247,116.486825,39.939321,124,22000,,1,1,2,0,0,0,1,0,0,1,1
248,116.200745,39.912236,69,5500,,1,1,1,0,0,0,1,0,0,1,1
249,116.475489,40.01952,85,9500,,1,1,1,0,0,0,1,0,0,1,1
250,116.564943,39.927446999999994,51,5000,1.0,1,1,1,0,0,0,1,0,0,0,1
251,116.47969499999999,39.993376,45,5800,,1,0,1,0,0,0,1,0,0,0,0
252,116.50828100000001,39.915816,65,6000,1.0,1,1,1,0,0,0,1,0,0,1,1
253,116.508075,39.936337,38,6500,1.0,1,0,1,0,0,1,1,0,0,0,1
254,116.67199099999999,39.887056,46,3600,1.0,1,1,1,0,0,0,1,0,0,0,1
255,116.505098,39.918019,58,8000,1.0,1,1,1,0,0,1,1,0,0,1,1
256,116.50383758545,39.930725097656,63,8600,1.0,1,0,1,0,0,1,1,0,0,1,1
257,116.31363999999999,39.987352,62,8800,1.0,1,1,1,0,0,1,1,0,0,1,1
258,116.24209099999999,40.234477000000005,61,3500,1.0,1,1,1,0,0,0,1,0,0,0,1
259,116.46493600000001,39.911052000000005,183,37500,,1,1,1,0,0,0,1,0,0,0,1
260,116.475489,40.01952,50,6600,,1,0,1,0,0,0,1,0,0,0,1
261,116.432142,39.902353999999995,37,6200,1.0,1,0,1,0,0,1,1,0,0,0,1
262,116.33083899999998,39.847582,60,4200,,1,1,1,0,0,0,1,0,0,1,0
263,116.16544499999999,39.935598999999996,44,3500,,1,0,1,0,0,0,1,0,0,1,1
264,116.483331,39.917139,54,14500,,1,1,1,0,0,0,1,0,0,1,1
265,116.41435600000001,39.869475,61,5300,1.0,1,1,1,1,0,0,1,0,0,1,0
266,116.589955,39.920154,39,4200,1.0,1,0,1,0,0,0,1,0,0,1,1
267,116.35636000000001,40.052562,52,5800,1.0,1,1,1,1,0,1,1,0,0,1,1
268,116.64054499999999,39.911057,68,5200,,1,1,1,0,0,0,1,0,0,1,1
269,116.452221,39.893046000000005,44,4700,1.0,1,1,1,0,0,0,1,0,0,1,1
270,116.493655,39.905367,50,7800,1.0,1,1,1,0,0,1,1,0,0,1,1
271,116.49367600000001,40.0031,76,12000,1.0,1,1,1,0,0,1,1,0,0,0,1
272,116.340938,39.76265,69,4700,1.0,1,1,1,0,0,1,1,0,0,0,1
273,116.33330600000001,39.891490999999995,62,6300,1.0,1,1,1,0,0,1,1,0,0,1,1
274,116.518451,39.924009999999996,60,5800,1.0,1,1,1,0,0,1,1,0,0,1,1
275,116.414549,39.972390000000004,47,6300,1.0,1,1,1,0,0,1,1,0,0,1,1
276,116.48973899999999,39.939299,88,10000,1.0,1,2,1,0,0,1,1,1,0,1,0
277,116.464891,39.964349,71,9800,,1,1,1,0,0,0,1,0,0,1,0
278,116.33404499999999,39.757413,57,3500,1.0,1,1,1,0,0,0,1,0,0,1,1
279,116.659929,39.908429,44,3900,1.0,1,1,1,0,0,0,1,0,0,0,1
280,116.511679,39.923959,58,5800,1.0,1,1,1,0,0,1,1,0,0,1,1
281,116.42186399999999,39.970675,38,6000,,1,1,1,0,0,0,1,0,0,1,1
282,116.384103,39.972885,47,6300,,1,1,1,0,0,0,1,0,0,1,1
283,116.33578700000001,39.907309000000005,41,5500,1.0,1,1,1,0,0,1,1,0,0,0,1
284,116.493655,39.905367,48,6000,1.0,1,0,1,0,0,1,1,0,0,1,1
285,116.493655,39.905367,46,6000,1.0,1,0,1,0,0,1,1,0,0,1,1
286,116.45308600000001,39.898396999999996,61,8000,1.0,1,1,1,0,0,1,1,0,0,1,1
287,116.197167,39.935324,41,4000,,1,1,1,0,0,0,1,0,0,0,1
288,116.463742,39.884582,38,5300,,1,1,1,0,0,0,1,0,0,0,1
289,116.373314,39.844248,48,5300,1.0,1,1,1,0,0,1,1,0,0,1,1
290,116.35133700000002,39.931197,33,6500,1.0,1,1,1,0,0,0,1,0,0,0,1
291,116.45053,39.874376,44,5300,,1,0,1,1,0,0,1,0,0,0,1
292,116.432142,39.902353999999995,56,8000,,1,1,1,0,0,0,1,0,0,1,1
293,116.43111100000002,39.892728999999996,43,4900,,1,1,1,0,0,0,1,0,0,0,1
294,116.324898,39.891441,36,5200,1.0,1,1,1,0,0,1,1,0,0,1,1
295,116.33382399999999,39.889469,64,6500,1.0,1,1,1,0,0,1,1,0,0,1,1
296,116.24700800000001,39.906426,60,5500,1.0,1,1,1,0,0,1,1,0,0,1,1
297,116.694868,39.877962,55,3500,1.0,1,0,1,0,0,0,1,0,0,1,1
298,116.110451,39.890387,48,2500,,1,1,1,0,0,0,1,0,0,1,0
299,116.37458899999999,39.879474,64,7000,1.0,1,1,1,0,0,1,1,0,0,1,0
300,116.48166200000001,39.878749,41,4900,1.0,1,1,1,0,0,1,1,0,0,1,1
301,116.483653,39.889140000000005,44,6300,1.0,1,0,1,0,0,1,1,0,0,1,1
302,116.42929299999999,39.872461,45,5500,1.0,1,1,1,0,0,1,1,0,0,1,0
303,116.312809,39.917802,51,5600,1.0,1,1,1,0,0,1,1,0,0,1,1
304,116.37267,39.851088,43,4700,,1,0,1,0,0,0,1,0,0,1,1
305,116.42929299999999,39.872461,31,4800,1.0,1,0,1,0,0,1,1,0,0,1,1
306,116.45208999999998,39.906053,71,8000,1.0,1,1,1,0,0,1,1,0,0,1,1
307,116.37733899999999,39.983461,54,7400,,1,1,1,0,0,0,1,0,0,1,1
308,116.65376299999998,39.901478999999995,63,4600,1.0,1,1,1,0,0,1,1,0,0,1,1
309,116.404498,39.847018,51,3600,1.0,1,1,1,0,0,0,1,0,1,1,1
