,names,district,location,xaxis,yaxis,roomspace,orientation,numrooms,height,floors,owner,postdate,price,is_total,numbed,numdining,numbath,is_new,two_bathroom,decoration,is_subway_house,rent_period_month,deposit_1_pay_1,is_key,central_heating
70,整租 ·   双井首城国际精装开间，拎包入住，诚意出租,朝阳,双井,116.47448999999999,39.897723,47,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",中楼层,28,链家,8天前发布,6900,1.0,1,0,1,0,0,1,1,0,0,1,1
71,整租 ·   近奥森 观澳园精装一居 看房方便 电梯房,海淀,清河,116.377572,40.039146,41,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",中楼层,6,链家,7天前发布,5000,1.0,1,0,1,0,0,1,1,0,0,1,1
72,整租 · 蓝调沙龙东区 1室0厅 3600元,通州,九棵树(家乐福),116.65810400000001,39.8932,45,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",高楼层,18,链家,8天前发布,3600,1.0,1,0,1,0,0,1,1,0,0,1,1
73,整租 · 远洋山水 1室1厅 6000元,石景山,鲁谷,116.24700800000001,39.906426,71,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,25,链家,8天前发布,6000,1.0,1,1,1,0,0,0,1,0,0,1,1
74,德胜里一区 1室1厅 6100元,西城,德胜门,116.38333200000001,39.962892,48,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,18,链家,7天前发布,6100,,1,1,1,0,0,0,1,0,0,1,1
75,整租 ·   精装开间，北向高层，正观小区花园，随时看房,朝阳,双井,116.476447,39.903804,55,北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",中楼层,23,链家,2天前发布,7800,1.0,1,0,1,1,0,1,1,0,0,1,1
76,光熙门北里 1室1厅 5500元,朝阳,西坝河,116.442298,39.970551,46,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,18,链家,7天前发布,5500,,1,1,1,0,0,0,1,0,0,1,1
77,育新花园 1室1厅 5100元,海淀,西三旗,116.352299,40.062427,47,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,5,链家,3天前发布,5100,,1,1,1,1,0,0,1,0,0,1,1
78,整租 · 荣丰2008 1室0厅 3700元,西城,广安门,116.343245,39.900529,30,北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",中楼层,26,链家,6天前发布,3700,1.0,1,0,1,1,0,1,1,0,0,1,1
79,整租 ·   紧邻地铁站   社区安静   南向一居室   拎包入住,朝阳,望京,116.473169,39.994603000000005,65,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,19,链家,6天前发布,7500,1.0,1,1,1,1,0,1,1,0,0,1,0
